Subject UPOS: ADJ, Subject Form: xešmtōhmagān | Newpart: zwy_ch6_sec6 | Sentence id: zwy-k43:159 | Text: ēdōn bē ōzanēnd ān ī awēšān xešmtōhmagān sadgānag ud hazārgānag ud bēwargānag abāz wardēnd drafš nišān
Subject UPOS: DET, Subject Form: ān | Newpart: zwy_ch6_sec13 | Sentence id: zwy-k43:171 | Text: zarduxšt čē ān ī ēn ka sadōzim hazārag sar ī zarduxštān ka ēč =iš druwand az ēn hazārag nē šawēd
Subject UPOS: ADJ, Subject Form: āhen | Newpart: zwy_ch3_sec19 | Sentence id: zwy-k43:40 | Text: ēk zarrēn ēk asēmēn ud ēk rōyēn ud ēk brinǰēn ud ēk arzīzēn ud ēk pōlāwadēn ud ēk āhen abar gumēxt estād
Subject UPOS: ADJ, Subject Form: zarrēn | Newpart: zwy_ch3_sec23 | Sentence id: zwy-k43:43 | Text: ud ān ī zarrēn xwadāyīh ī wištāspšah ka man ud tō dēn ham pursēm
Subject UPOS: ADJ, Subject Form: asēmēn | Newpart: zwy_ch3_sec24 | Sentence id: zwy-k43:48 | Text: ān ī asēmēn xwadāyīh ī ardaxšahr ī kay ka wahman ī spandyādān xwānēd kē dēw ī az mardōmān ǰudāg kunēd
Subject UPOS: ADJ, Subject Form: rōyēn | Newpart: zwy_ch3_sec25 | Sentence id: zwy-k43:49 | Text: ud ān ī rōyēn xwadāyīh ī ardaxšīr ī gēhān ārāstār ud wirāstār ud ān ī šābūr šah ka gēhān man ohrmazd dād ārāyēd bōxtagīh pad sāmān ī gēhān rawāg kunēd wehīh paydāg be bawēd ud ādurbād ī pērōzbaxt ī dēnrāstwirāstār pad rōy ī passāxtag ēn dēn abāg ǰudristagān abāz ō rāstīh āwarēd
Subject UPOS: ADJ, Subject Form: brinǰēn | Newpart: zwy_ch3_sec26 | Sentence id: zwy-k43:50 | Text: ud ān ī brinǰēn xwadāyīh ī aškānān šah kē ǰudristagīh
Subject UPOS: ADJ, Subject Form: pōlāwadēn | Newpart: zwy_ch3_sec28 | Sentence id: zwy-k43:52 | Text: ān pōlāwadēn xwadāyīh ī husraw ī kawādān šah ka gizistag mazdīk ī bāmdādān ī dēn petyārag abāg ǰudristagān estēd az ēn dēn abāz dārēd
Subject UPOS: DET, Subject Form: ān | Newpart: zwy_ch4_sec31 | Sentence id: zwy-k43:88 | Text: pad sad pad hazār pad bēwar ēk ēw bawēd kē pad ēn dēn wurrōyēd ud ān =iz ī wurrōyēd kār az =iš nē gīrēd
Subject UPOS: ADJ, Subject Form: āzādagān | Newpart: zwy_ch4_sec36 | Sentence id: zwy-k43:95 | Text: ud āzādagān ud wuzurgān ud mowmardān bē ō škōhīh bandagīh rasēnd
